school_name,conference
"University of Alabama, Tuscaloosa",SEC
American University,Patriot
Arizona State University (ASU),Pac-12
University of Arizona,Pac-12
University of Arkansas,SEC
Auburn University,SEC
Baylor University,Big 12
Boston College,ACC
Boston University,Patriot
Brigham Young University (BYU),Big 12
Bucknell University,Patriot
University of California at Los Angeles (UCLA),Pac-12
Clemson University,ACC
Colgate University,Patriot
College of the Holy Cross,Patriot
University of Colorado - Boulder (UCB),Pac-12
Duke University,ACC
University of Florida (UF),SEC
Florida State University (FSU),ACC
University of Georgia (UGA),SEC
Georgia Institute of Technology,ACC
University of Illinois at Urbana-Champaign (UIUC),Big Ten
"Indiana University (IU), Bloomington",Big Ten
University of Iowa (UI),Big Ten
Iowa State University,Big 12
University of Kansas,Big 12
Kansas State University (KSU),Big 12
University of Kentucky (UK),SEC
Lafayette College,Patriot
Lehigh University,Patriot
University of Louisville,ACC
Loyola University Maryland,Patriot
Louisiana State University (LSU),SEC
"University of Maryland, College Park",Big Ten
University of Miami,ACC
Michigan State University (MSU),Big Ten
University of Michigan,Big Ten
University of Minnesota,Big Ten
University of Mississippi,SEC
Mississippi State University (MSU),SEC
University of Missouri - Columbia,SEC
University of Nebraska,Big Ten
University of North Carolina at Chapel Hill (UNCH),ACC
North Carolina State University (NCSU),ACC
Northwestern University,Big Ten
Notre Dame,Independent
Ohio State University (OSU),Big Ten
University of Oklahoma,SEC
Oklahoma State University,Big 12
University of Oregon,Pac-12
Oregon State University (OSU),Pac-12
Pennsylvania State University (PSU),Big Ten
University of Pittsburgh (Pitt),ACC
Purdue University,Big Ten
Rutgers,Big Ten
University of South Carolina,SEC
Stanford University,Pac-12
Southern Methodist University,ACC
Texas Christian University (TCU),Big 12
University of Tennessee,SEC
University of Texas (UT) - Austin,SEC
Texas A&M University,SEC
Texas Tech University,Big 12
The United States Military Academy (Army),Patriot
United States Naval Academy (Navy),Patriot
University of Central Florida,Big 12
University of Cincinnati,Big 12
University of Houston,Big 12
University of Utah,Pac-12
Vanderbilt University,SEC
University of Virginia (UVA),ACC
Virginia Polytechnic Institute and State University (Virginia Tech),ACC
Wake Forest University,ACC
University of Washington (UW),Pac-12
West Virginia University (WVU),Big 12
University of Wisconsin (UW) - Madison,Big Ten
"University of California, Berkeley",Pac-12
Washington State University (WSU),Pac-12
